dataset,split,example_idx,setup_id
wmt24-literary,en-es,34,claude-3-5
wmt24-literary,en-es,70,claude-3-5
wmt24-literary,en-es,40,commandr-plus
wmt24-literary,en-es,45,commandr-plus
wmt24-literary,en-es,18,commandr-plus
wmt24-literary,en-es,59,commandr-plus
wmt24-literary,en-es,1,commandr-plus
wmt24-literary,en-es,5,commandr-plus
wmt24-literary,en-es,31,commandr-plus
wmt24-literary,en-es,33,commandr-plus
wmt24-literary,en-es,34,commandr-plus
wmt24-literary,en-es,70,commandr-plus
wmt24-literary,en-es,18,dubformer
wmt24-literary,en-es,1,dubformer
wmt24-literary,en-es,5,dubformer
wmt24-literary,en-es,31,dubformer
wmt24-literary,en-es,33,dubformer
wmt24-literary,en-es,34,dubformer
wmt24-literary,en-es,59,dubformer
wmt24-literary,en-es,40,dubformer
wmt24-literary,en-es,45,dubformer
wmt24-literary,en-es,70,dubformer
wmt24-literary,en-es,40,gemini-1-5-pro
wmt24-literary,en-es,45,gemini-1-5-pro
wmt24-literary,en-es,18,gemini-1-5-pro
wmt24-literary,en-es,31,gemini-1-5-pro
wmt24-literary,en-es,33,gemini-1-5-pro
wmt24-literary,en-es,34,gemini-1-5-pro
wmt24-literary,en-es,59,gemini-1-5-pro
wmt24-literary,en-es,1,gemini-1-5-pro
wmt24-literary,en-es,5,gemini-1-5-pro
wmt24-literary,en-es,70,gemini-1-5-pro
wmt24-literary,en-es,59,gpt-4
wmt24-literary,en-es,40,gpt-4
wmt24-literary,en-es,45,gpt-4
wmt24-literary,en-es,1,gpt-4
wmt24-literary,en-es,5,gpt-4
wmt24-literary,en-es,31,gpt-4
wmt24-literary,en-es,33,gpt-4
wmt24-literary,en-es,34,gpt-4
wmt24-literary,en-es,18,gpt-4
wmt24-literary,en-es,70,gpt-4
wmt24-literary,en-es,18,ikun
wmt24-literary,en-es,40,ikun
wmt24-literary,en-es,45,ikun
wmt24-literary,en-es,59,ikun
wmt24-literary,en-es,31,ikun
wmt24-literary,en-es,33,ikun
wmt24-literary,en-es,34,ikun
wmt24-literary,en-es,1,ikun
wmt24-literary,en-es,5,ikun
wmt24-literary,en-es,70,ikun
wmt24-literary,en-es,1,ikun-c
wmt24-literary,en-es,5,ikun-c
wmt24-literary,en-es,18,ikun-c
wmt24-literary,en-es,59,ikun-c
wmt24-literary,en-es,40,ikun-c
wmt24-literary,en-es,45,ikun-c
wmt24-literary,en-es,31,ikun-c
wmt24-literary,en-es,33,ikun-c
wmt24-literary,en-es,34,ikun-c
wmt24-literary,en-es,70,ikun-c
wmt24-literary,en-es,40,iol-research
wmt24-literary,en-es,45,iol-research
wmt24-literary,en-es,31,iol-research
wmt24-literary,en-es,33,iol-research
wmt24-literary,en-es,34,iol-research
wmt24-literary,en-es,18,iol-research
wmt24-literary,en-es,59,iol-research
wmt24-literary,en-es,1,iol-research
wmt24-literary,en-es,5,iol-research
wmt24-literary,en-es,70,iol-research
wmt24-literary,en-es,31,llama3-70b
wmt24-literary,en-es,33,llama3-70b
wmt24-literary,en-es,34,llama3-70b
wmt24-literary,en-es,1,llama3-70b
wmt24-literary,en-es,5,llama3-70b
wmt24-literary,en-es,18,llama3-70b
wmt24-literary,en-es,59,llama3-70b
wmt24-literary,en-es,40,llama3-70b
wmt24-literary,en-es,45,llama3-70b
wmt24-literary,en-es,70,llama3-70b
wmt24-literary,en-es,18,mistral-large
wmt24-literary,en-es,40,mistral-large
wmt24-literary,en-es,45,mistral-large
wmt24-literary,en-es,59,mistral-large
wmt24-literary,en-es,1,mistral-large
wmt24-literary,en-es,5,mistral-large
wmt24-literary,en-es,31,mistral-large
wmt24-literary,en-es,33,mistral-large
wmt24-literary,en-es,34,mistral-large
wmt24-literary,en-es,70,mistral-large
wmt24-literary,en-es,18,mslc
wmt24-literary,en-es,40,mslc
wmt24-literary,en-es,45,mslc
wmt24-literary,en-es,59,mslc
wmt24-literary,en-es,31,mslc
wmt24-literary,en-es,33,mslc
wmt24-literary,en-es,34,mslc
wmt24-literary,en-es,1,mslc
wmt24-literary,en-es,5,mslc
wmt24-literary,en-es,70,mslc
wmt24-literary,en-es,18,online-b
wmt24-literary,en-es,1,online-b
wmt24-literary,en-es,5,online-b
wmt24-literary,en-es,40,online-b
wmt24-literary,en-es,45,online-b
wmt24-literary,en-es,31,online-b
wmt24-literary,en-es,33,online-b
wmt24-literary,en-es,34,online-b
wmt24-literary,en-es,59,online-b
wmt24-literary,en-es,70,online-b
wmt24-literary,en-es,40,unbabel-tower70b
wmt24-literary,en-es,45,unbabel-tower70b
wmt24-literary,en-es,18,unbabel-tower70b
wmt24-literary,en-es,59,unbabel-tower70b
wmt24-literary,en-es,31,unbabel-tower70b
wmt24-literary,en-es,33,unbabel-tower70b
wmt24-literary,en-es,34,unbabel-tower70b
wmt24-literary,en-es,1,unbabel-tower70b
wmt24-literary,en-es,5,unbabel-tower70b
wmt24-literary,en-es,70,unbabel-tower70b
wmt24-literary,en-hi,16,aya23
wmt24-literary,en-hi,17,aya23
wmt24-literary,en-hi,19,aya23
wmt24-literary,en-hi,22,aya23
wmt24-literary,en-hi,23,aya23
wmt24-literary,en-hi,40,aya23
wmt24-literary,en-hi,48,aya23
wmt24-literary,en-hi,54,aya23
wmt24-literary,en-hi,70,aya23
wmt24-literary,en-hi,65,aya23
wmt24-literary,en-hi,22,claude-3-5
wmt24-literary,en-hi,23,claude-3-5
wmt24-literary,en-hi,40,claude-3-5
wmt24-literary,en-hi,48,claude-3-5
wmt24-literary,en-hi,54,claude-3-5
wmt24-literary,en-hi,16,claude-3-5
wmt24-literary,en-hi,17,claude-3-5
wmt24-literary,en-hi,19,claude-3-5
wmt24-literary,en-hi,70,claude-3-5
wmt24-literary,en-hi,65,claude-3-5
wmt24-literary,en-hi,40,gemini-1-5-pro
wmt24-literary,en-hi,48,gemini-1-5-pro
wmt24-literary,en-hi,54,gemini-1-5-pro
wmt24-literary,en-hi,16,gemini-1-5-pro
wmt24-literary,en-hi,17,gemini-1-5-pro
wmt24-literary,en-hi,19,gemini-1-5-pro
wmt24-literary,en-hi,22,gemini-1-5-pro
wmt24-literary,en-hi,23,gemini-1-5-pro
wmt24-literary,en-hi,70,gemini-1-5-pro
wmt24-literary,en-hi,65,gemini-1-5-pro
wmt24-literary,en-hi,16,gpt-4
wmt24-literary,en-hi,17,gpt-4
wmt24-literary,en-hi,19,gpt-4
wmt24-literary,en-hi,22,gpt-4
wmt24-literary,en-hi,23,gpt-4
wmt24-literary,en-hi,54,gpt-4
wmt24-literary,en-hi,40,gpt-4
wmt24-literary,en-hi,48,gpt-4
wmt24-literary,en-hi,70,gpt-4
wmt24-literary,en-hi,65,gpt-4
wmt24-literary,en-hi,16,ikun-c
wmt24-literary,en-hi,17,ikun-c
wmt24-literary,en-hi,19,ikun-c
wmt24-literary,en-hi,22,ikun-c
wmt24-literary,en-hi,23,ikun-c
wmt24-literary,en-hi,40,ikun-c
wmt24-literary,en-hi,48,ikun-c
wmt24-literary,en-hi,54,ikun-c
wmt24-literary,en-hi,65,ikun-c
wmt24-literary,en-hi,70,ikun-c
wmt24-literary,en-hi,22,iol-research
wmt24-literary,en-hi,23,iol-research
wmt24-literary,en-hi,40,iol-research
wmt24-literary,en-hi,48,iol-research
wmt24-literary,en-hi,54,iol-research
wmt24-literary,en-hi,16,iol-research
wmt24-literary,en-hi,19,iol-research
wmt24-literary,en-hi,17,iol-research
wmt24-literary,en-hi,65,iol-research
wmt24-literary,en-hi,70,iol-research
wmt24-literary,en-hi,22,llama3-70b
wmt24-literary,en-hi,23,llama3-70b
wmt24-literary,en-hi,40,llama3-70b
wmt24-literary,en-hi,48,llama3-70b
wmt24-literary,en-hi,16,llama3-70b
wmt24-literary,en-hi,17,llama3-70b
wmt24-literary,en-hi,19,llama3-70b
wmt24-literary,en-hi,54,llama3-70b
wmt24-literary,en-hi,70,llama3-70b
wmt24-literary,en-hi,65,llama3-70b
wmt24-literary,en-hi,22,online-b
wmt24-literary,en-hi,23,online-b
wmt24-literary,en-hi,40,online-b
wmt24-literary,en-hi,48,online-b
wmt24-literary,en-hi,54,online-b
wmt24-literary,en-hi,16,online-b
wmt24-literary,en-hi,17,online-b
wmt24-literary,en-hi,19,online-b
wmt24-literary,en-hi,70,online-b
wmt24-literary,en-hi,65,online-b
wmt24-literary,en-hi,40,transsionmt
wmt24-literary,en-hi,48,transsionmt
wmt24-literary,en-hi,16,transsionmt
wmt24-literary,en-hi,17,transsionmt
wmt24-literary,en-hi,19,transsionmt
wmt24-literary,en-hi,54,transsionmt
wmt24-literary,en-hi,22,transsionmt
wmt24-literary,en-hi,23,transsionmt
wmt24-literary,en-hi,70,transsionmt
wmt24-literary,en-hi,65,transsionmt
wmt24-literary,en-hi,22,unbabel-tower70b
wmt24-literary,en-hi,23,unbabel-tower70b
wmt24-literary,en-hi,40,unbabel-tower70b
wmt24-literary,en-hi,48,unbabel-tower70b
wmt24-literary,en-hi,54,unbabel-tower70b
wmt24-literary,en-hi,16,unbabel-tower70b
wmt24-literary,en-hi,17,unbabel-tower70b
wmt24-literary,en-hi,19,unbabel-tower70b
wmt24-literary,en-hi,70,unbabel-tower70b
wmt24-literary,en-hi,65,unbabel-tower70b
wmt24-literary,en-is,9,ami
wmt24-literary,en-is,32,ami
wmt24-literary,en-is,34,ami
wmt24-literary,en-is,14,ami
wmt24-literary,en-is,53,ami
wmt24-literary,en-is,23,ami
wmt24-literary,en-is,24,ami
wmt24-literary,en-is,70,ami
wmt24-literary,en-is,73,ami
wmt24-literary,en-is,62,ami
wmt24-literary,en-is,32,claude-3-5
wmt24-literary,en-is,34,claude-3-5
wmt24-literary,en-is,53,claude-3-5
wmt24-literary,en-is,23,claude-3-5
wmt24-literary,en-is,24,claude-3-5
wmt24-literary,en-is,14,claude-3-5
wmt24-literary,en-is,9,claude-3-5
wmt24-literary,en-is,70,claude-3-5
wmt24-literary,en-is,73,claude-3-5
wmt24-literary,en-is,62,claude-3-5
wmt24-literary,en-is,14,dubformer
wmt24-literary,en-is,23,dubformer
wmt24-literary,en-is,24,dubformer
wmt24-literary,en-is,9,dubformer
wmt24-literary,en-is,32,dubformer
wmt24-literary,en-is,34,dubformer
wmt24-literary,en-is,53,dubformer
wmt24-literary,en-is,62,dubformer
wmt24-literary,en-is,70,dubformer
wmt24-literary,en-is,73,dubformer
wmt24-literary,en-is,14,gpt-4
wmt24-literary,en-is,32,gpt-4
wmt24-literary,en-is,34,gpt-4
wmt24-literary,en-is,23,gpt-4
wmt24-literary,en-is,24,gpt-4
wmt24-literary,en-is,9,gpt-4
wmt24-literary,en-is,53,gpt-4
wmt24-literary,en-is,62,gpt-4
wmt24-literary,en-is,70,gpt-4
wmt24-literary,en-is,73,gpt-4
wmt24-literary,en-is,32,ikun
wmt24-literary,en-is,34,ikun
wmt24-literary,en-is,23,ikun
wmt24-literary,en-is,24,ikun
wmt24-literary,en-is,14,ikun
wmt24-literary,en-is,53,ikun
wmt24-literary,en-is,9,ikun
wmt24-literary,en-is,62,ikun
wmt24-literary,en-is,70,ikun
wmt24-literary,en-is,73,ikun
wmt24-literary,en-is,14,ikun-c
wmt24-literary,en-is,53,ikun-c
wmt24-literary,en-is,9,ikun-c
wmt24-literary,en-is,23,ikun-c
wmt24-literary,en-is,24,ikun-c
wmt24-literary,en-is,32,ikun-c
wmt24-literary,en-is,34,ikun-c
wmt24-literary,en-is,62,ikun-c
wmt24-literary,en-is,70,ikun-c
wmt24-literary,en-is,73,ikun-c
wmt24-literary,en-is,23,iol-research
wmt24-literary,en-is,24,iol-research
wmt24-literary,en-is,14,iol-research
wmt24-literary,en-is,32,iol-research
wmt24-literary,en-is,34,iol-research
wmt24-literary,en-is,53,iol-research
wmt24-literary,en-is,9,iol-research
wmt24-literary,en-is,70,iol-research
wmt24-literary,en-is,73,iol-research
wmt24-literary,en-is,62,iol-research
wmt24-literary,en-is,23,llama3-70b
wmt24-literary,en-is,24,llama3-70b
wmt24-literary,en-is,53,llama3-70b
wmt24-literary,en-is,14,llama3-70b
wmt24-literary,en-is,32,llama3-70b
wmt24-literary,en-is,34,llama3-70b
wmt24-literary,en-is,9,llama3-70b
wmt24-literary,en-is,70,llama3-70b
wmt24-literary,en-is,73,llama3-70b
wmt24-literary,en-is,62,llama3-70b
wmt24-literary,en-is,23,online-b
wmt24-literary,en-is,24,online-b
wmt24-literary,en-is,9,online-b
wmt24-literary,en-is,32,online-b
wmt24-literary,en-is,34,online-b
wmt24-literary,en-is,53,online-b
wmt24-literary,en-is,14,online-b
wmt24-literary,en-is,62,online-b
wmt24-literary,en-is,73,online-b
wmt24-literary,en-is,70,online-b
wmt24-literary,en-is,23,unbabel-tower70b
wmt24-literary,en-is,24,unbabel-tower70b
wmt24-literary,en-is,14,unbabel-tower70b
wmt24-literary,en-is,32,unbabel-tower70b
wmt24-literary,en-is,34,unbabel-tower70b
wmt24-literary,en-is,9,unbabel-tower70b
wmt24-literary,en-is,53,unbabel-tower70b
wmt24-literary,en-is,62,unbabel-tower70b
wmt24-literary,en-is,70,unbabel-tower70b
wmt24-literary,en-is,73,unbabel-tower70b
wmt24-literary,en-ja,47,aya23
wmt24-literary,en-ja,13,aya23
wmt24-literary,en-ja,14,aya23
wmt24-literary,en-ja,48,aya23
wmt24-literary,en-ja,52,aya23
wmt24-literary,en-ja,31,aya23
wmt24-literary,en-ja,34,aya23
wmt24-literary,en-ja,6,aya23
wmt24-literary,en-ja,8,aya23
wmt24-literary,en-ja,67,aya23
wmt24-literary,en-ja,47,claude-3-5
wmt24-literary,en-ja,6,claude-3-5
wmt24-literary,en-ja,8,claude-3-5
wmt24-literary,en-ja,48,claude-3-5
wmt24-literary,en-ja,52,claude-3-5
wmt24-literary,en-ja,13,claude-3-5
wmt24-literary,en-ja,14,claude-3-5
wmt24-literary,en-ja,31,claude-3-5
wmt24-literary,en-ja,34,claude-3-5
wmt24-literary,en-ja,67,claude-3-5
wmt24-literary,en-ja,6,commandr-plus
wmt24-literary,en-ja,8,commandr-plus
wmt24-literary,en-ja,47,commandr-plus
wmt24-literary,en-ja,13,commandr-plus
wmt24-literary,en-ja,14,commandr-plus
wmt24-literary,en-ja,31,commandr-plus
wmt24-literary,en-ja,34,commandr-plus
wmt24-literary,en-ja,48,commandr-plus
wmt24-literary,en-ja,52,commandr-plus
wmt24-literary,en-ja,67,commandr-plus
wmt24-literary,en-ja,13,gemini-1-5-pro
wmt24-literary,en-ja,14,gemini-1-5-pro
wmt24-literary,en-ja,31,gemini-1-5-pro
wmt24-literary,en-ja,34,gemini-1-5-pro
wmt24-literary,en-ja,48,gemini-1-5-pro
wmt24-literary,en-ja,52,gemini-1-5-pro
wmt24-literary,en-ja,8,gemini-1-5-pro
wmt24-literary,en-ja,6,gemini-1-5-pro
wmt24-literary,en-ja,47,gemini-1-5-pro
wmt24-literary,en-ja,67,gemini-1-5-pro
wmt24-literary,en-ja,31,gpt-4
wmt24-literary,en-ja,34,gpt-4
wmt24-literary,en-ja,47,gpt-4
wmt24-literary,en-ja,6,gpt-4
wmt24-literary,en-ja,8,gpt-4
wmt24-literary,en-ja,13,gpt-4
wmt24-literary,en-ja,14,gpt-4
wmt24-literary,en-ja,48,gpt-4
wmt24-literary,en-ja,52,gpt-4
wmt24-literary,en-ja,67,gpt-4
wmt24-literary,en-ja,13,ikun-c
wmt24-literary,en-ja,14,ikun-c
wmt24-literary,en-ja,31,ikun-c
wmt24-literary,en-ja,34,ikun-c
wmt24-literary,en-ja,48,ikun-c
wmt24-literary,en-ja,52,ikun-c
wmt24-literary,en-ja,6,ikun-c
wmt24-literary,en-ja,8,ikun-c
wmt24-literary,en-ja,47,ikun-c
wmt24-literary,en-ja,67,ikun-c
wmt24-literary,en-ja,48,iol-research
wmt24-literary,en-ja,52,iol-research
wmt24-literary,en-ja,34,iol-research
wmt24-literary,en-ja,31,iol-research
wmt24-literary,en-ja,13,iol-research
wmt24-literary,en-ja,14,iol-research
wmt24-literary,en-ja,47,iol-research
wmt24-literary,en-ja,6,iol-research
wmt24-literary,en-ja,8,iol-research
wmt24-literary,en-ja,67,iol-research
wmt24-literary,en-ja,6,llama3-70b
wmt24-literary,en-ja,8,llama3-70b
wmt24-literary,en-ja,13,llama3-70b
wmt24-literary,en-ja,14,llama3-70b
wmt24-literary,en-ja,47,llama3-70b
wmt24-literary,en-ja,31,llama3-70b
wmt24-literary,en-ja,34,llama3-70b
wmt24-literary,en-ja,48,llama3-70b
wmt24-literary,en-ja,52,llama3-70b
wmt24-literary,en-ja,67,llama3-70b
wmt24-literary,en-ja,31,nttsu
wmt24-literary,en-ja,34,nttsu
wmt24-literary,en-ja,6,nttsu
wmt24-literary,en-ja,8,nttsu
wmt24-literary,en-ja,47,nttsu
wmt24-literary,en-ja,48,nttsu
wmt24-literary,en-ja,52,nttsu
wmt24-literary,en-ja,13,nttsu
wmt24-literary,en-ja,14,nttsu
wmt24-literary,en-ja,67,nttsu
wmt24-literary,en-ja,47,online-b
wmt24-literary,en-ja,48,online-b
wmt24-literary,en-ja,52,online-b
wmt24-literary,en-ja,31,online-b
wmt24-literary,en-ja,34,online-b
wmt24-literary,en-ja,6,online-b
wmt24-literary,en-ja,8,online-b
wmt24-literary,en-ja,13,online-b
wmt24-literary,en-ja,14,online-b
wmt24-literary,en-ja,67,online-b
wmt24-literary,en-ja,6,team-j
wmt24-literary,en-ja,8,team-j
wmt24-literary,en-ja,13,team-j
wmt24-literary,en-ja,14,team-j
wmt24-literary,en-ja,31,team-j
wmt24-literary,en-ja,34,team-j
wmt24-literary,en-ja,48,team-j
wmt24-literary,en-ja,52,team-j
wmt24-literary,en-ja,47,team-j
wmt24-literary,en-ja,67,team-j
wmt24-literary,en-ja,6,unbabel-tower70b
wmt24-literary,en-ja,8,unbabel-tower70b
wmt24-literary,en-ja,47,unbabel-tower70b
wmt24-literary,en-ja,13,unbabel-tower70b
wmt24-literary,en-ja,14,unbabel-tower70b
wmt24-literary,en-ja,48,unbabel-tower70b
wmt24-literary,en-ja,52,unbabel-tower70b
wmt24-literary,en-ja,31,unbabel-tower70b
wmt24-literary,en-ja,34,unbabel-tower70b
wmt24-literary,en-ja,67,unbabel-tower70b
wmt24-literary,en-ru,31,aya23
wmt24-literary,en-ru,40,aya23
wmt24-literary,en-ru,47,aya23
wmt24-literary,en-ru,26,aya23
wmt24-literary,en-ru,50,aya23
wmt24-literary,en-ru,4,aya23
wmt24-literary,en-ru,7,aya23
wmt24-literary,en-ru,74,aya23
wmt24-literary,en-ru,78,aya23
wmt24-literary,en-ru,60,aya23
wmt24-literary,en-ru,40,claude-3-5
wmt24-literary,en-ru,47,claude-3-5
wmt24-literary,en-ru,26,claude-3-5
wmt24-literary,en-ru,4,claude-3-5
wmt24-literary,en-ru,7,claude-3-5
wmt24-literary,en-ru,50,claude-3-5
wmt24-literary,en-ru,31,claude-3-5
wmt24-literary,en-ru,60,claude-3-5
wmt24-literary,en-ru,74,claude-3-5
wmt24-literary,en-ru,78,claude-3-5
wmt24-literary,en-ru,50,commandr-plus
wmt24-literary,en-ru,31,commandr-plus
wmt24-literary,en-ru,4,commandr-plus
wmt24-literary,en-ru,7,commandr-plus
wmt24-literary,en-ru,40,commandr-plus
wmt24-literary,en-ru,47,commandr-plus
wmt24-literary,en-ru,26,commandr-plus
wmt24-literary,en-ru,60,commandr-plus
wmt24-literary,en-ru,74,commandr-plus
wmt24-literary,en-ru,78,commandr-plus
wmt24-literary,en-ru,50,dubformer
wmt24-literary,en-ru,26,dubformer
wmt24-literary,en-ru,31,dubformer
wmt24-literary,en-ru,40,dubformer
wmt24-literary,en-ru,47,dubformer
wmt24-literary,en-ru,4,dubformer
wmt24-literary,en-ru,7,dubformer
wmt24-literary,en-ru,74,dubformer
wmt24-literary,en-ru,78,dubformer
wmt24-literary,en-ru,60,dubformer
wmt24-literary,en-ru,4,gemini-1-5-pro
wmt24-literary,en-ru,7,gemini-1-5-pro
wmt24-literary,en-ru,50,gemini-1-5-pro
wmt24-literary,en-ru,40,gemini-1-5-pro
wmt24-literary,en-ru,47,gemini-1-5-pro
wmt24-literary,en-ru,31,gemini-1-5-pro
wmt24-literary,en-ru,26,gemini-1-5-pro
wmt24-literary,en-ru,60,gemini-1-5-pro
wmt24-literary,en-ru,74,gemini-1-5-pro
wmt24-literary,en-ru,78,gemini-1-5-pro
wmt24-literary,en-ru,40,gpt-4
wmt24-literary,en-ru,47,gpt-4
wmt24-literary,en-ru,4,gpt-4
wmt24-literary,en-ru,7,gpt-4
wmt24-literary,en-ru,31,gpt-4
wmt24-literary,en-ru,26,gpt-4
wmt24-literary,en-ru,50,gpt-4
wmt24-literary,en-ru,60,gpt-4
wmt24-literary,en-ru,74,gpt-4
wmt24-literary,en-ru,78,gpt-4
wmt24-literary,en-ru,4,ikun
wmt24-literary,en-ru,7,ikun
wmt24-literary,en-ru,26,ikun
wmt24-literary,en-ru,31,ikun
wmt24-literary,en-ru,50,ikun
